NombreComun,NombreCientifico,Familia,Fam_orden,Orden
Taguat¢ com£n,Buteo magnirostris,Accipitridae,1,Falconiformes
Gavil n mixto,Parabuteo unicinctus,Accipitridae,1,Falconiformes
Carancho,Caracara plancus,Falconidae,2,Falconiformes
Halconcito colorado,Falco sparverius,Falconidae,2,Falconiformes
Tero,Vanellus chilensis,Charadridae,3,Charadriformes
Paloma dom‚stica,Columba livia,Columbidae,4,Columbiformes
Paloma picazur¢,Columba picazuro,Columbidae,4,Columbiformes
Torcacita com£n,Columbina picui,Columbidae,4,Columbiformes
Torcaza com£n,Zenaida auriculata,Columbidae,4,Columbiformes
Catita chirir¡,Brotogeris chiriri,Psittacidae,5,Psittaciformes
Cotorra,Myiopsitta manachus,Psittacidae,5,Psittaciformes
Pirincho,Guira guira,Cuculidae,6,Cuculiformes
Picaflor com£n,Chlorostilbon aureoventris,Trochilidae,7,Trochiliformes
Carpintero real com£n,Colaptes melanochloros,Picidae,8,Picidae
Hornero,Furnarius rufus,Furnariidae,9,Passeriformes
Picabuey,Machetornis rixosa,Tyrannidae,10,Passeriformes
Benteveo com£n,Pitangus sulphuratus,Tyrannidae,10,Passeriformes
Golondrina dom‚stica,Progne chalybea,Hirundinidae,11,Passeriformes
Golondrina parda,Progne tapera,Hirundinidae,11,Passeriformes
Zorzal colorado,Turdus rufiventris,Turdidae,12,Passeriformes
Calandria grande,Mimus saturninus,Mimidae,13,Passeriformes
Fueguero com£n,Piranga flava,Thraupidae,14,Passeriformes
