Category: All categories

Week,alberto fernandez: (Argentina),macri: (Argentina),alberto: (Argentina),mauricio macri: (Argentina),dolar: (Argentina)
2019-01-06,<1,1,1,<1,20
2019-01-13,<1,2,1,<1,18
2019-01-20,<1,2,1,<1,16
2019-01-27,<1,1,1,<1,16
2019-02-03,<1,2,1,1,16
2019-02-10,<1,2,1,<1,17
2019-02-17,<1,2,1,<1,23
2019-02-24,<1,5,1,1,18
2019-03-03,<1,10,1,1,26
2019-03-10,<1,2,1,<1,24
2019-03-17,<1,3,1,<1,21
2019-03-24,<1,3,1,1,34
2019-03-31,<1,2,3,<1,24
2019-04-07,<1,2,2,<1,23
2019-04-14,<1,4,1,<1,20
2019-04-21,<1,3,1,<1,35
2019-04-28,<1,2,1,<1,25
2019-05-05,<1,2,1,<1,23
2019-05-12,3,2,5,<1,19
2019-05-19,5,2,7,<1,18
2019-05-26,1,2,2,<1,15
2019-06-02,1,2,2,<1,15
2019-06-09,<1,3,2,<1,17
2019-06-16,<1,2,2,<1,14
2019-06-23,1,1,2,<1,18
2019-06-30,1,2,2,<1,18
2019-07-07,1,2,2,<1,15
2019-07-14,1,2,2,<1,18
2019-07-21,1,2,2,<1,17
2019-07-28,1,2,2,<1,20
2019-08-04,1,5,2,<1,23
2019-08-11,4,17,7,1,100
2019-08-18,1,4,3,<1,35
2019-08-25,1,5,3,<1,40
2019-09-01,1,3,2,<1,42
2019-09-08,1,2,2,<1,25
2019-09-15,1,2,2,<1,24
2019-09-22,1,2,2,<1,21
2019-09-29,1,3,3,<1,19
2019-10-06,1,3,2,<1,17
2019-10-13,1,5,3,<1,20
2019-10-20,2,7,4,1,39
2019-10-27,8,7,12,1,56
2019-11-03,2,2,4,<1,23
2019-11-10,1,1,3,<1,19
2019-11-17,1,1,3,<1,16
2019-11-24,1,1,2,<1,17
2019-12-01,2,3,4,<1,18
2019-12-08,9,5,15,1,21
2019-12-15,2,1,4,<1,32
2019-12-22,1,1,3,<1,26
2019-12-29,1,1,2,<1,19
